,Correctness,Flouted,MannerType,Action,FailedMove
0,6.0,False,MannerType.AcceptedDuplicates,place,False
1,3.0,False,MannerType.NoDuplciates,place,False
2,3.5,False,MannerType.AcceptedDuplicates,place,False
3,5.75,False,MannerType.AcceptedDuplicates,place,False
4,3.875,False,MannerType.NoDuplciates,place,False
5,3.9375,False,MannerType.AcceptedDuplicates,place,False
6,5.96875,False,MannerType.NoDuplciates,remove,False
7,5.984375,False,MannerType.NoDuplciates,remove,False
8,5.9921875,False,MannerType.AcceptedDuplicates,remove,False
9,6.0,False,MannerType.NoDuplciates,remove,False
10,6.0,False,MannerType.NoDuplciates,place,False
11,4.0,False,MannerType.NoDuplciates,remove,False
12,4.0,False,MannerType.AcceptedDuplicates,remove,False
13,4.0,False,MannerType.AcceptedDuplicates,remove,False
14,3.0,False,MannerType.NoDuplciates,place,False
15,6.0,False,MannerType.AcceptedDuplicates,place,False
16,3.0,False,MannerType.AcceptedDuplicates,place,False
17,2.5,False,MannerType.AcceptedDuplicates,place,False
18,5.75,False,MannerType.AcceptedDuplicates,place,False
19,4.875,False,MannerType.NoDuplciates,remove,False
20,3.9375,False,MannerType.AcceptedDuplicates,place,False
21,4.96875,False,MannerType.AcceptedDuplicates,remove,False
22,3.984375,False,MannerType.NoDuplciates,place,False
23,3.9921875,False,MannerType.NoDuplciates,place,False
24,3.99609375,False,MannerType.NoDuplciates,place,False
25,3.998046875,False,MannerType.NoDuplciates,place,False
26,3.9990234375,False,MannerType.NoDuplciates,place,False
27,3.99951171875,False,MannerType.AcceptedDuplicates,place,False
28,3.999755859375,False,MannerType.NoDuplciates,place,False
29,5.9998779296875,False,MannerType.AcceptedDuplicates,remove,False
30,5.99993896484375,False,MannerType.NoDuplciates,remove,False
31,3.999969482421875,False,MannerType.NoDuplciates,place,False
32,0.0,False,MannerType.NoDuplciates,place,True
33,3.9999847412109375,False,MannerType.AcceptedDuplicates,place,False
34,3.0,False,MannerType.NoDuplciates,place,False
35,3.5,False,MannerType.AcceptedDuplicates,place,False
36,5.75,False,MannerType.NoDuplciates,place,False
37,3.875,False,MannerType.NoDuplciates,place,False
38,3.9375,False,MannerType.NoDuplciates,place,False
39,0.0,False,MannerType.NoDuplciates,place,True
40,3.96875,False,MannerType.AcceptedDuplicates,place,False
41,3.984375,False,MannerType.AcceptedDuplicates,place,False
42,0.0,False,MannerType.AcceptedDuplicates,place,True
43,0.0,False,MannerType.NoDuplciates,place,True
44,0.0,False,MannerType.NoDuplciates,place,True
45,3.9921875,False,MannerType.AcceptedDuplicates,place,False
46,3.99609375,False,MannerType.NoDuplciates,place,False
47,0.0,False,MannerType.NoDuplciates,place,True
48,3.998046875,False,MannerType.AcceptedDuplicates,place,False
49,0.0,False,MannerType.AcceptedDuplicates,place,True
50,3.0,False,MannerType.NoDuplciates,place,False
51,5.5,False,MannerType.AcceptedDuplicates,place,False
52,3.75,False,MannerType.NoDuplciates,place,False
53,3.875,False,MannerType.AcceptedDuplicates,place,False
54,3.9375,False,MannerType.NoDuplciates,place,False
55,3.96875,False,MannerType.NoDuplciates,place,False
56,3.984375,False,MannerType.NoDuplciates,place,False
57,0.0,False,MannerType.NoDuplciates,place,True
58,5.9921875,False,MannerType.NoDuplciates,place,False
59,5.99609375,False,MannerType.NoDuplciates,place,False
60,5.998046875,False,MannerType.AcceptedDuplicates,place,False
61,4.9990234375,False,MannerType.AcceptedDuplicates,remove,False
62,5.99951171875,False,MannerType.NoDuplciates,remove,False
63,3.999755859375,False,MannerType.NoDuplciates,remove,False
64,5.9998779296875,False,MannerType.AcceptedDuplicates,remove,False
65,3.99993896484375,False,MannerType.NoDuplciates,remove,False
66,5.999969482421875,False,MannerType.NoDuplciates,remove,False
67,3.9999847412109375,False,MannerType.NoDuplciates,remove,False
68,5.999992370605469,False,MannerType.NoDuplciates,remove,False
69,3.0,False,MannerType.AcceptedDuplicates,place,False
70,3.5,False,MannerType.AcceptedDuplicates,place,False
