,Correctness,Wall,Flouted,Action,FailedMove
0,0.0,D1,False,place,True
1,0.0,D1,False,place,True
2,3.0,D1,False,place,False
3,0.0,D1,False,remove,True
4,0.0,D1,False,remove,True
5,0.0,D1,False,remove,True
6,0.0,D1,False,place,True
7,0.0,D1,False,place,True
8,6.0,D1,False,remove,False
9,3.0,D1,False,place,False
10,3.5,D1,True,place,False
11,0.0,D1,False,place,True
12,0.0,D1,False,place,True
13,0.0,D1,False,place,True
14,3.0,D1,False,place,False
15,5.5,D1,False,place,False
16,5.75,D1,False,place,False
17,4.875,D1,False,place,False
18,0.0,D1,True,place,True
19,0.0,D1,True,remove,True
20,0.0,D1,False,remove,True
21,6.0,D3,False,place,False
22,6.0,D3,False,place,False
23,0.0,D3,False,place,True
24,0.0,D3,False,place,True
25,3.0,D3,False,place,False
26,0.0,D3,False,place,True
27,0.0,D3,False,place,True
28,3.5,D3,False,place,False
29,0.0,D3,False,place,True
30,5.75,D3,False,place,False
31,0.0,D3,False,place,True
32,3.875,D3,False,place,False
33,0,D3,False,remove,True
34,0,D3,False,remove,True
35,0,D3,False,remove,True
36,0,D3,False,remove,True
37,6,D3,False,place,False
38,0,D3,True,remove,True
39,0,D3,True,remove,True
40,0,D3,False,remove,True
41,0,D3,False,remove,True
42,6,D3,False,place,False
43,0,D3,False,remove,True
44,0,D3,False,remove,True
45,0,D3,False,remove,True
46,0,D3,False,remove,True
47,0,D3,False,remove,True
48,0,D3,False,remove,True
49,0,D3,True,remove,True
50,3.0,D3,False,place,False
51,5.0,D3,False,remove,False
52,3.0,D3,False,place,False
53,3.5,D3,False,place,False
54,0.0,D3,False,remove,True
55,0.0,D3,False,place,True
56,5.75,D3,False,remove,False
57,0.0,D3,True,place,True
58,0.0,D3,True,remove,True
59,3.875,D3,False,place,False
60,4.9375,D3,False,remove,False
61,0.0,D3,True,remove,True
62,3.0,D3,False,place,False
63,3.5,D3,False,place,False
64,0.0,D3,False,place,True
65,3.75,D3,False,place,False
66,5.875,D3,False,remove,False
67,3.9375,D3,False,place,False
68,5.96875,D3,False,place,False
69,0.0,D3,True,place,True
70,0.0,D3,False,remove,True
71,3.984375,D3,False,place,False
72,0.0,D3,False,remove,True
73,5.9921875,D3,False,remove,False
74,4.99609375,D3,False,remove,False
75,3.998046875,D3,True,place,False
76,0.0,D3,False,remove,True
77,0.0,D3,False,remove,True
78,0.0,D3,False,remove,True
79,0.0,D3,False,remove,True
80,3.0,D3,True,place,False
81,5.0,D3,False,remove,False
82,0.0,D3,False,remove,True
83,3.0,D3,False,place,False
84,5.0,D3,False,remove,False
85,2.0,D3,False,place,False
86,0.0,D3,True,remove,True
87,0.0,D3,True,remove,True
88,0.0,D3,True,remove,True
89,0.0,D3,True,remove,True
90,0.0,D3,False,remove,True
91,0.0,D3,True,remove,True
92,0.0,D3,True,remove,True
93,0.0,D3,True,remove,True
